#IDX 	 Time Lapse 	 LOAD->SEG 	 SEG->EXTRACT 	 EXTRACT->VEC 	 VEC->RANK 	 RANK->OUT 	 Service Time 
69	76.820	1070620.786	1795997.429	1692559.000	1692559.000	12.571	5891746.143
70	77.872	1715873.625	1742098.750	1101125.062	1101125.062	38.625	5975424.812
71	78.915	1812128.667	1178674.467	1459710.133	1459710.133	39.267	5780858.733
72	79.944	1305569.050	1400214.850	1245940.800	1245940.800	39.900	5325326.450
73	80.984	1331860.800	1194819.800	1486076.100	1486076.100	36.400	5069054.800
74	82.034	1318798.652	1379655.304	1108437.826	1108437.826	23.609	5286098.870
75	83.063	1408796.769	1010547.769	1552420.308	1552420.308	32.538	5119665.154
76	84.591	1162767.222	1402076.167	1119860.667	1119860.667	36.611	5049892.278
77	85.623	1370430.083	1183476.875	1335809.542	1335809.542	40.875	5424801.208
78	86.632	1086517.000	1287215.778	1590834.667	1590834.667	39.000	5283152.222
79	87.676	1213034.864	1501052.545	1319022.409	1319022.409	38.409	5472545.545
80	88.751	1518784.905	1284737.190	1371327.095	1371327.095	27.143	5017707.286
81	89.763	1236665.857	1509297.714	730352.714	730352.714	47.429	4750971.929
82	91.366	1468826.000	814086.684	1111799.158	1111799.158	44.684	4751463.158
83	92.547	830930.217	1132671.130	1329913.783	1329913.783	193.261	4823891.478
84	93.567	1143543.444	1282720.278	1516390.111	1516390.111	363.000	5125620.833
85	94.596	1361589.280	1415190.160	1120416.840	1120416.840	42.600	4878261.080
86	95.602	1350145.700	1154031.000	886700.300	886700.300	38.850	4398494.150
87	96.607	1143126.773	878627.818	966354.818	966354.818	37.955	3967047.182
88	97.702	848419.143	979889.857	929637.857	929637.857	31.714	3768142.095
89	98.807	885790.125	1047049.125	954794.375	954794.375	41.750	4219527.000
90	100.163	1033442.043	893237.652	1149466.565	1149466.565	16.957	4732917.217
91	101.235	848022.538	990105.077	1832157.538	1832157.538	673.000	5062215.769
92	102.423	962188.545	1651659.545	1153831.636	1153831.636	34.091	5767086.455
93	103.714	1051225.250	1710533.167	1486558.250	1486558.250	38.000	6241680.750
94	104.724	1839610.455	1123636.545	1913866.909	1913866.909	154.727	6947355.909
95	105.765	1385954.429	1689744.143	1920040.071	1920040.071	32.857	7173673.071
96	106.845	1442959.353	1894196.235	2096007.000	2096007.000	30.882	6826204.471
97	108.299	1877227.000	2080046.353	1478932.353	1478932.353	40.882	6700584.529
98	109.306	2052665.850	1555307.950	1164579.000	1164579.000	236.100	6485200.500
99	110.343	1472388.583	1240228.458	1547441.208	1547441.208	11.292	5214528.625
100	111.609	1252296.316	1558626.579	892075.789	892075.789	31.368	4721447.895
101	112.688	1464693.739	902404.000	1004171.739	1004171.739	38.739	4572981.391
102	113.788	906079.520	1046353.360	1118029.560	1118029.560	43.120	3960164.960
103	114.802	1016416.214	1119186.143	819084.857	819084.857	48.071	4174525.357
104	115.837	1190751.222	999544.889	854716.556	854716.556	31.778	4762830.556
105	117.638	1106662.400	887134.200	1105354.000	1105354.000	42.600	5629676.000
106	118.817	1012192.474	849095.684	1610278.105	1610278.105	34.842	6425235.211
107	119.831	853579.286	1625307.667	2834664.714	2834664.714	62.143	6521642.667
108	121.164	1449751.154	3073777.000	1200742.308	1200742.308	41.154	6971769.923
109	122.251	2684695.471	1719499.353	1030616.824	1030616.824	34.647	7244768.882
110	123.361	1836270.714	1060691.095	1686412.476	1686412.476	16.000	5825783.048
111	124.511	1010926.000	1715775.833	1237791.556	1237791.556	23.611	4995783.278
112	125.561	1676257.143	1275894.786	977798.357	977798.357	20.571	5490977.857
113	126.649	1424668.176	1091883.529	1298790.353	1298790.353	19.176	5277128.059
114	127.911	1209077.444	946409.000	1577313.778	1577313.778	11.778	5448737.000
115	129.301	1028377.200	1441028.500	1323739.900	1323739.900	32.500	6043651.000
116	130.315	1128930.111	1451467.000	1835453.389	1835453.389	46.667	6585530.333
117	131.365	1529202.000	1659037.667	2256856.200	2256856.200	29.067	6819218.400
118	132.418	1463462.375	2271451.500	1427184.312	1427184.312	33.438	6528947.562
119	133.433	2094151.000	1752027.333	1322602.417	1322602.417	43.500	6747340.667
120	134.667	2317472.200	1247674.400	1277342.000	1277342.000	31.700	6940894.600
121	135.795	1559504.769	1287544.000	1607050.538	1607050.538	34.000	6370974.769
122	136.811	1283371.882	1446631.000	1967504.294	1967504.294	41.000	6379132.706
123	137.987	1305480.200	2013292.333	1594970.467	1594970.467	21.267	6348369.933
124	139.172	1817644.000	1684643.818	1592674.000	1592674.000	35.545	6857249.545
125	140.210	1866832.294	1634170.412	1433512.471	1433512.471	41.765	6738593.765
126	141.939	1642315.450	1412466.700	1742236.450	1742236.450	479.000	5893427.400
127	143.137	1349038.294	1805266.941	1021356.059	1021356.059	86.882	6011412.059
128	144.216	1745640.857	1299320.857	1426947.857	1426947.857	32.571	6768418.571
129	145.274	1729627.688	953678.062	1909035.375	1909035.375	46.125	6810654.875
130	146.402	1026789.750	1790365.438	2162670.438	2162670.438	47.188	6316286.750
131	147.439	1433879.400	2096840.400	1603756.900	1603756.900	29.700	6877719.400
132	148.607	1937250.947	1956226.053	1409551.421	1409551.421	23.105	6856371.105
133	149.756	1991683.421	1377095.842	1539952.474	1539952.474	33.789	6382224.684
134	151.024	1345711.000	1584823.158	1390185.105	1390185.105	42.895	5436307.632
135	152.074	1498668.250	1288943.821	1117823.000	1117823.000	96.929	4993873.393
136	153.102	1403705.214	1070426.214	1088894.071	1088894.071	43.786	4660065.143
137	154.109	1003040.556	1177373.278	896434.833	896434.833	33.444	4443029.722
138	155.153	1223751.375	811522.938	1332155.312	1332155.312	35.062	4614017.625
139	156.607	834363.154	1269834.077	1145099.308	1145099.308	29.769	4495574.692
140	157.668	1116284.389	1205561.722	1192079.500	1192079.500	40.278	5444689.722
141	158.889	1253753.133	1223155.200	1720109.467	1720109.467	40.067	5637242.067
142	160.098	1192085.643	1443850.214	1623191.643	1623191.643	40.786	5794089.643
143	161.122	1311376.611	1727434.500	1388372.278	1388372.278	45.889	6174654.222
144	162.368	1626049.269	1465472.231	1557905.538	1557905.538	44.192	5606368.692
145	163.402	1536060.957	1418917.739	881258.609	881258.609	35.696	5018426.478
146	164.423	1155265.375	995236.844	1036177.875	1036177.875	41.594	3946868.281
147	165.450	1106815.095	925266.381	648123.476	648123.476	40.333	3424608.571
148	166.474	952929.182	702725.909	565330.455	565330.455	40.091	3683187.364
149	167.517	817400.500	562919.571	986780.357	986780.357	31.643	4065899.786
150	168.750	601080.667	765608.800	1623210.400	1623210.400	49.000	4341199.467
151	169.808	771413.583	1528503.792	1391673.958	1391673.958	30.083	5038299.875
152	170.891	1523146.033	1351839.200	1127092.367	1127092.367	38.867	4822620.167
153	171.913	1330897.038	949779.962	738981.423	738981.423	48.923	3819231.846
154	172.919	867718.389	710216.111	779990.944	779990.944	48.389	3314633.667
155	174.009	706374.565	778792.522	911579.348	911579.348	36.609	3436822.304
156	175.151	786361.350	919536.800	986388.200	986388.200	37.100	3843093.800
157	176.245	958406.882	1013740.471	1034155.676	1034155.676	99.794	3771142.441
158	177.253	984588.000	1045441.733	639515.533	639515.533	45.867	3623125.933
159	178.278	970974.467	673826.267	940137.933	940137.933	30.267	3630339.900
160	179.295	571070.364	999299.364	1062109.273	1062109.273	46.273	3625931.818
161	180.378	782103.556	1161639.722	817327.056	817327.056	49.000	4179595.722
162	181.466	1107492.042	885002.625	1312199.708	1312199.708	48.417	4434097.833
163	182.572	784020.900	1397059.900	1125364.100	1125364.100	50.200	4507904.500
164	183.734	1188806.789	1196732.684	1048695.105	1048695.105	47.211	4940621.789
165	184.991	1203678.684	1041840.474	1443892.368	1443892.368	47.316	5031921.211
166	186.089	1048820.000	1420898.476	1283085.381	1283085.381	44.333	4985634.238
167	187.140	1469892.267	1313475.400	1141590.267	1141590.267	49.000	5150450.800
168	188.215	1280377.857	1223431.143	1191136.571	1191136.571	47.143	5208090.143
169	189.258	1245677.917	1124310.875	1375483.125	1375483.125	50.167	5375808.708
170	190.287	1128230.000	1235929.444	1826539.778	1826539.778	45.000	5373970.667
171	191.301	1185567.091	1694263.409	1201188.091	1201188.091	48.909	5545481.636
172	192.334	1726144.048	1176756.762	1384507.952	1384507.952	32.619	5384490.810
173	193.412	1084165.824	1445824.529	1066524.353	1066524.353	39.294	4805352.412
174	194.464	1474905.176	1055759.941	1136471.000	1136471.000	31.059	4921833.353
175	195.497	1103142.333	1080969.333	1166215.000	1166215.000	584.133	4617917.933
176	196.522	1024418.286	1205257.429	1206690.857	1206690.857	42.357	5109215.500
177	197.533	1192781.714	1175480.000	1484331.429	1484331.429	44.619	4896772.714
178	198.903	1170828.417	1423908.750	1044226.250	1044226.250	283.583	4829562.000
179	199.941	1196153.857	1474544.857	945073.714	945073.714	29.000	5653587.286
180	200.956	1641240.700	780074.300	1441281.900	1441281.900	442.200	5989507.800
181	202.024	1092823.526	1182401.737	2015975.579	2015975.579	47.211	5913335.316
182	203.183	997446.385	1991832.077	1710364.923	1710364.923	43.385	5794833.846
183	204.285	1869144.720	1744821.960	1186621.400	1186621.400	396.120	6170285.280
184	205.510	1758809.750	997992.000	1476344.833	1476344.833	41.583	5508631.833
