#Index 	 Time Leapse(s) 	 Time Spent(s) 	 Current Dequeue 	 Image Processed 	 Throughput By Image 	 Memmory Usage(kB)
615	682.124	1.025	10174	16	15.606	122020.000
616	683.238	1.107	10201	27	24.382	122020.000
617	684.255	1.012	10213	12	11.860	122020.000
618	685.263	1.002	10227	14	13.973	122020.000
619	686.283	1.015	10247	20	19.705	122020.000
620	687.349	1.060	10262	15	14.151	122020.000
621	688.481	1.126	10279	17	15.094	122020.000
622	689.527	1.038	10289	10	9.636	122020.000
623	690.594	1.062	10302	13	12.241	122020.000
624	691.604	1.004	10316	14	13.938	122020.000
625	692.642	1.034	10332	16	15.473	122020.000
626	693.776	1.128	10348	16	14.179	122020.000
627	695.007	1.226	10369	21	17.129	122020.000
628	696.027	1.015	10386	17	16.746	122020.000
629	697.389	1.357	10401	15	11.055	122020.000
630	698.525	1.131	10421	20	17.688	122020.000
631	699.536	1.003	10438	17	16.945	122020.000
632	700.598	1.057	10456	18	17.030	122020.000
633	701.610	1.005	10467	11	10.940	122020.000
634	702.795	1.180	10482	15	12.707	122020.000
635	703.862	1.061	10501	19	17.900	122020.000
636	704.918	1.050	10515	14	13.333	122020.000
637	706.040	1.116	10532	17	15.230	122020.000
638	707.052	1.006	10541	9	8.945	122020.000
639	708.076	1.020	10561	20	19.603	122020.000
640	709.139	1.059	10574	13	12.280	122020.000
641	710.207	1.062	10585	11	10.362	122020.000
642	711.217	1.005	10599	14	13.930	122020.000
643	712.307	1.078	10612	13	12.056	122020.000
644	713.328	1.016	10626	14	13.781	122020.000
645	714.350	1.014	10637	11	10.846	122020.000
646	715.417	1.061	10648	11	10.364	122020.000
647	716.466	1.042	10668	20	19.199	122020.000
648	717.485	1.012	10687	19	18.770	122020.000
649	718.722	1.232	10702	15	12.173	122020.000
650	719.975	1.247	10725	23	18.441	122020.000
651	721.213	1.232	10731	6	4.871	122020.000
652	722.271	1.051	10749	18	17.127	122020.000
653	723.305	1.028	10776	27	26.263	122020.000
654	724.447	1.133	10796	20	17.655	122020.000
655	725.602	1.149	10819	23	20.019	122020.000
656	726.688	1.078	10826	7	6.495	122020.000
657	727.741	1.047	10836	10	9.552	122020.000
658	728.777	1.031	10846	10	9.702	122020.000
659	729.810	1.028	10867	21	20.434	122020.000
660	730.854	1.038	10884	17	16.370	122020.000
661	731.898	1.038	10899	15	14.452	122020.000
662	733.250	1.348	10913	14	10.387	122020.000
663	734.305	1.048	10932	19	18.122	122020.000
664	735.493	1.183	10964	32	27.053	122020.000
665	736.583	1.084	10977	13	11.996	122020.000
666	737.876	1.287	10990	13	10.097	122020.000
667	739.227	1.344	11007	17	12.644	122020.000
668	740.248	1.015	11015	8	7.882	122020.000
669	741.834	1.581	11026	11	6.959	122020.000
670	742.962	1.122	11037	11	9.804	122020.000
671	744.278	1.309	11050	13	9.930	122020.000
672	745.387	1.103	11068	18	16.326	122020.000
673	746.471	1.079	11074	6	5.561	122020.000
674	747.553	1.075	11084	10	9.302	122020.000
675	748.586	1.027	11097	13	12.654	122020.000
676	749.620	1.030	11113	16	15.529	122020.000
677	750.766	1.137	11129	16	14.070	122020.000
678	751.897	1.122	11136	7	6.241	122020.000
679	753.006	1.103	11150	14	12.691	122020.000
680	754.144	1.131	11168	18	15.909	122020.000
681	755.269	1.120	11187	19	16.970	122020.000
682	756.300	1.025	11207	20	19.504	122020.000
683	757.497	1.192	11233	26	21.806	122020.000
684	758.609	1.106	11247	14	12.656	122020.000
685	759.926	1.311	11270	23	17.545	122020.000
686	761.086	1.155	11274	4	3.462	122020.000
687	762.133	1.041	11283	9	8.642	122020.000
688	763.423	1.279	11298	15	11.729	122020.000
689	764.656	1.228	11313	15	12.216	122020.000
690	765.672	1.010	11328	15	14.847	122020.000
691	766.689	1.011	11345	17	16.820	122020.000
692	767.777	1.082	11357	12	11.086	122020.000
693	768.959	1.171	11368	11	9.394	122020.000
694	769.992	1.024	11376	8	7.815	122020.000
695	771.007	1.009	11398	22	21.810	122020.000
696	772.249	1.239	11409	11	8.878	122020.000
697	773.679	1.425	11427	18	12.632	122020.000
698	774.687	1.003	11451	24	23.934	122020.000
699	775.699	1.007	11471	20	19.856	122020.000
700	776.764	1.058	11489	18	17.011	122020.000
701	777.770	1.002	11507	18	17.969	122020.000
702	779.665	1.891	11533	26	13.748	122020.000
703	780.940	1.267	11548	15	11.839	122020.000
704	781.973	1.025	11567	19	18.540	122020.000
705	783.000	1.022	11574	7	6.851	122020.000
706	784.007	1.002	11587	13	12.969	122020.000
707	785.036	1.022	11602	15	14.675	122020.000
708	786.127	1.076	11614	12	11.152	122020.000
709	787.213	1.070	11630	16	14.950	122020.000
710	788.243	1.025	11647	17	16.578	122020.000
711	789.261	1.012	11664	17	16.802	122020.000
712	790.325	1.059	11679	15	14.166	122020.000
713	791.363	1.032	11696	17	16.480	122020.000
714	792.411	1.043	11711	15	14.383	122020.000
715	793.491	1.076	11724	13	12.086	122020.000
716	795.100	1.604	11739	15	9.349	122020.000
717	796.156	1.051	11750	11	10.468	122020.000
718	797.252	1.091	11759	9	8.249	122020.000
719	798.271	1.015	11773	14	13.795	122020.000
720	799.296	1.019	11791	18	17.659	122020.000
721	800.632	1.330	11801	10	7.516	122020.000
722	801.679	1.041	11816	15	14.410	122020.000
723	802.903	1.218	11832	16	13.134	122020.000
724	803.959	1.050	11849	17	16.186	122020.000
725	805.103	1.138	11869	20	17.576	122020.000
726	806.115	1.007	11881	12	11.918	122020.000
727	807.211	1.092	11891	10	9.157	122020.000
728	808.298	1.083	11914	23	21.245	122020.000
729	809.387	1.084	11941	27	24.911	122020.000
730	810.480	1.088	11954	13	11.947	122020.000
731	811.496	1.011	11963	9	8.898	122020.000
732	812.558	1.057	11985	22	20.812	122020.000
733	813.966	1.403	12004	19	13.542	122020.000
734	814.988	1.015	12023	19	18.718	122020.000
735	816.586	1.594	12039	16	10.038	122020.000
736	817.616	1.025	12058	19	18.534	122020.000
737	818.679	1.058	12076	18	17.006	122020.000
738	819.692	1.007	12085	9	8.940	122020.000
739	820.744	1.047	12099	14	13.368	122020.000
740	821.801	1.053	12117	18	17.100	122020.000
741	822.808	1.001	12138	21	20.970	122020.000
742	823.836	1.024	12144	6	5.859	122020.000
743	825.052	1.210	12162	18	14.871	122020.000
744	826.178	1.122	12180	18	16.047	122020.000
745	827.292	1.107	12197	17	15.357	122020.000
746	828.298	1.002	12218	21	20.958	122020.000
747	829.424	1.120	12232	14	12.497	122020.000
748	830.532	1.103	12243	11	9.971	122020.000
749	831.721	1.184	12258	15	12.664	122020.000
750	832.816	1.087	12267	9	8.283	122020.000
751	833.880	1.060	12288	21	19.816	122020.000
752	835.113	1.225	12308	20	16.331	122020.000
753	836.140	1.019	12322	14	13.740	122020.000
754	837.208	1.061	12344	22	20.743	122020.000
755	838.222	1.009	12360	16	15.862	122020.000
756	839.254	1.028	12375	15	14.595	122020.000
757	840.358	1.100	12393	18	16.369	122020.000
758	841.389	1.024	12403	10	9.769	122020.000
759	842.429	1.033	12421	18	17.423	122020.000
760	843.596	1.162	12441	20	17.219	122020.000
761	844.849	1.248	12461	20	16.028	122020.000
762	845.949	1.092	12480	19	17.405	122020.000
763	847.363	1.409	12495	15	10.642	122020.000
764	848.716	1.348	12509	14	10.386	122020.000
765	849.728	1.007	12522	13	12.907	122020.000
766	850.914	1.182	12533	11	9.310	122020.000
767	851.967	1.046	12552	19	18.160	122020.000
768	853.039	1.066	12570	18	16.878	122020.000
769	854.067	1.023	12578	8	7.821	122020.000
770	855.082	1.009	12598	20	19.814	122020.000
771	856.093	1.004	12613	15	14.934	122020.000
772	857.130	1.033	12633	20	19.368	122020.000
773	858.299	1.164	12652	19	16.323	122020.000
774	859.340	1.034	12677	25	24.173	122020.000
775	860.354	1.009	12701	24	23.782	122020.000
776	861.419	1.060	12712	11	10.382	122020.000
777	862.436	1.012	12728	16	15.818	122020.000
778	863.447	1.007	12747	19	18.874	122020.000
779	864.462	1.010	12763	16	15.848	122020.000
780	865.530	1.063	12779	16	15.058	122020.000
781	866.547	1.011	12797	18	17.806	122020.000
782	867.746	1.193	12812	15	12.569	122020.000
783	868.929	1.176	12826	14	11.906	122020.000
784	869.995	1.060	12842	16	15.089	122020.000
785	871.026	1.026	12854	12	11.693	122020.000
786	872.047	1.016	12878	24	23.626	122020.000
787	873.369	1.318	12897	19	14.418	122020.000
788	874.600	1.223	12923	26	21.252	122020.000
789	875.665	1.059	12936	13	12.277	122020.000
790	876.851	1.180	12948	12	10.167	122020.000
791	877.876	1.019	12966	18	17.658	122020.000
792	878.950	1.068	12984	18	16.849	122020.000
793	880.052	1.095	12994	10	9.132	122020.000
794	881.086	1.026	13023	29	28.266	122020.000
795	882.096	1.004	13045	22	21.912	122020.000
796	883.103	1.001	13063	18	17.975	122020.000
797	884.118	1.007	13082	19	18.863	122020.000
798	885.170	1.044	13091	9	8.619	122020.000
799	886.231	1.057	13106	15	14.184	122020.000
800	887.317	1.079	13125	19	17.608	122020.000
801	888.409	1.088	13151	26	23.905	122020.000
802	889.432	1.018	13164	13	12.770	122020.000
803	890.497	1.060	13184	20	18.872	122020.000
804	891.511	1.010	13203	19	18.819	122020.000
805	892.531	1.014	13226	23	22.692	122020.000
806	893.700	1.164	13253	27	23.199	122020.000
807	894.831	1.126	13284	31	27.522	122020.000
808	895.919	1.082	13305	21	19.411	122020.000
809	897.036	1.112	13320	15	13.484	122020.000
810	898.043	1.002	13337	17	16.970	122020.000
811	899.107	1.059	13355	18	16.998	122020.000
812	900.113	1.000	13371	16	15.994	122020.000
813	901.497	1.380	13384	13	9.421	122020.000
814	902.568	1.063	13393	9	8.464	122020.000
815	903.660	1.088	13407	14	12.873	122020.000
816	904.832	1.167	13418	11	9.424	122020.000
817	905.850	1.013	13433	15	14.805	122020.000
818	906.877	1.021	13447	14	13.712	122020.000
819	908.356	1.474	13465	18	12.211	122020.000
820	909.393	1.032	13480	15	14.540	122020.000
821	910.547	1.149	13497	17	14.789	122020.000
822	911.709	1.157	13508	11	9.511	122020.000
823	912.773	1.059	13530	22	20.783	122020.000
824	913.886	1.105	13544	14	12.671	122020.000
825	914.894	1.003	13565	21	20.947	122020.000
826	916.098	1.200	13580	15	12.504	122020.000
827	917.264	1.157	13594	14	12.102	122020.000
828	918.399	1.128	13614	20	17.728	122020.000
829	919.479	1.074	13632	18	16.757	122020.000
830	920.549	1.065	13640	8	7.514	122020.000
831	921.574	1.019	13652	12	11.771	122020.000
832	922.625	1.045	13666	14	13.397	122020.000
833	923.657	1.027	13676	10	9.733	122020.000
834	924.683	1.020	13696	20	19.615	122020.000
835	925.758	1.071	13709	13	12.140	122020.000
836	926.862	1.101	13723	14	12.720	122020.000
837	927.967	1.101	13733	10	9.086	122020.000
838	929.264	1.292	13746	13	10.062	122020.000
839	929.281	0.012	13750	4	333.835	122020.000
#Command Line: /home/carlos/svn/BenSP_suite/apps/ferret/bin/ferret-pthreads /home/carlos/svn/BenSP_suite/apps/ferret/inputs/heavy_duty/h1/dataset lsh /home/carlos/svn/BenSP_suite/apps/ferret/inputs/heavy_duty/h1/images(input) 50(images to rank) 1(threads) 20(L->S) 20(S->E) 20(E->V) 20(V->R) 20(R->O)
