1	47.80
1	56.88
1	62.52
2	43.84
4	36.74
#threads 	 Time Processing 
1	48.88
2	40.48
4	40.46
#threads 	 Time Processing 
4	47.86
#threads 	 Time Processing 
2	0.47
2	0.24
2	0.29
